project	bug_ID	priority	type(person1)	type(person2)	type(final decision)	bug_URL	created_time	patch_URL
Hibernate	HHH-15117	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-15117	2022/3/12	https://github.com/hibernate/hibernate-orm/pull/4871/files
Hibernate	HHH-14948	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-14948	2021/12/2	https://github.com/hibernate/hibernate-orm/pull/4411/files
Hibernate	HHH-14937	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-14937	2021/11/23	https://github.com/hibernate/hibernate-orm/pull/4378/files
Hibernate	HHH-14935	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-14935	2021/11/19	https://github.com/hibernate/hibernate-orm/pull/4412/files
Hibernate	HHH-14876	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-14876	2021/10/12	https://github.com/hibernate/hibernate-orm/pull/4310/files
Hibernate	HHH-14875	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-14875	2021/10/12	https://github.com/hibernate/hibernate-orm/pull/4308/files
Hibernate	HHH-14874	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-14874	2021/10/12	https://github.com/hibernate/hibernate-orm/pull/4295/files
Hibernate	HHH-14655	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-14655	2021/6/5	https://github.com/hibernate/hibernate-orm/pull/4034/files
Hibernate	HHH-14523	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-14523	2021/3/23	https://github.com/hibernate/hibernate-orm/commit/e76241a3091078713dd4b57de085f5fadce5e0db
Hibernate	HHH-14380	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-14380	2020/12/18	https://github.com/hibernate/hibernate-orm/pull/3680/files
Hibernate	HHH-14343	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-14343	2020/11/20	https://github.com/hibernate/hibernate-orm/pull/3658/files
Hibernate	HHH-14276	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-14276	2020/10/21	https://github.com/hibernate/hibernate-orm/pull/3641/files
Hibernate	HHH-13959	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-13959	2020/4/19	https://github.com/hibernate/hibernate-orm/pull/3358/files
Hibernate	HHH-13944	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-13944	2020/4/11	https://github.com/hibernate/hibernate-orm/pull/3684/files
Hibernate	HHH-13859	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-13859	2020/2/10	https://github.com/hibernate/hibernate-orm/commit/d3fdb657d699e29e9e6980df5d9e1051fd957298
Hibernate	HHH-13760	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-13760	2019/12/2	https://github.com/hibernate/hibernate-orm/pull/3170/files
Hibernate	HHH-13655	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-13655	2019/10/5	https://github.com/hibernate/hibernate-orm/commit/d95c16e9ab1b3d3b718adb4eb0fa0ede62b9cd95
Hibernate	HHH-13590	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-13590	2019/8/18	https://github.com/hibernate/hibernate-orm/pull/3007/files
Hibernate	HHH-13456	critical	T1.1.1	T1.1.1	T1.1.1	https://hibernate.atlassian.net/browse/HHH-13456	2019/6/25	https://github.com/hibernate/hibernate-orm/pull/3120/files
Hibernate	HHH-13164	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-13164	2018/12/14	https://github.com/hibernate/hibernate-orm/pull/2727/files
Hibernate	HHH-13147	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-13147	2018/12/7	https://github.com/hibernate/hibernate-orm/pull/2682/files
Hibernate	HHH-13059	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-13059	2018/10/23	https://github.com/hibernate/hibernate-orm/pull/2747/files
Hibernate	HHH-12913	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-12913	2018/8/15	https://github.com/hibernate/hibernate-orm/commit/b00f580d8daa3bffbcff854dc815887756de9664
Hibernate	HHH-12640	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-12640	2018/5/27	https://github.com/hibernate/hibernate-orm/pull/2370/files
